port_b,port_a,count_condition,count_joint,probability
22,623,15604356,1778350,0.11396497234490165
22,102,15604356,1775628,0.11379053387400287
22,49154,15604356,1760411,0.11281535745531568
22,50805,15604356,1758171,0.11267180779520795
22,51005,15604356,1757303,0.11261618230191621
22,49152,15604356,1755042,0.11247128686374497
22,11211,15604356,1723407,0.11044396833807175
22,1433,15604356,1709767,0.10956985344348719
22,445,15604356,1542821,0.098871174177261781
23,80,4728088,3163490,0.66908441636450078
23,443,4728088,2961020,0.62626160934398856
23,7547,4728088,2674776,0.5657204349834436
23,3306,4728088,2667868,0.56425937926705261
23,8080,4728088,2643199,0.55904183678476371
23,6443,4728088,2632445,0.55676734443182951
23,110,4728088,2609468,0.55190766330914309
23,993,4728088,2606047,0.5511841150164718
23,5432,4728088,2603914,0.55073298128122827
23,1883,4728088,2601821,0.550290307625408
23,21,4728088,2601531,0.55022897204958965
23,631,4728088,2601230,0.5501653099519298
23,995,4728088,2597063,0.54928398117801525
23,8883,4728088,2593224,0.54847202505537118
23,8443,4728088,2581048,0.54589677687894134
23,20000,4728088,2572920,0.54417768874014194
23,4567,4728088,2567342,0.542997930664573
23,161,4728088,2565100,0.54252374321290131
23,5672,4728088,2548561,0.53902571187338311
23,5900,4728088,2545449,0.53836751769425606
23,143,4728088,2507302,0.53029935145031137
23,30005,4728088,2500355,0.52883004715648274
23,1521,4728088,2478842,0.52428000494068638
23,1723,4728088,2474451,0.52335129972200178
23,6379,4728088,2473895,0.523233704618019
23,465,4728088,2467859,0.52195707863305418
23,27017,4728088,2448342,0.51782919438047681
23,53,4728088,2439950,0.51605426971748414
23,49152,4728088,2434882,0.51498237765456145
23,49154,4728088,2426920,0.51329839884536832
23,502,4728088,2416569,0.51110914179262312
23,623,4728088,2400162,0.50763902871520161
23,102,4728088,2396298,0.506821785042918
23,587,4728088,2394823,0.50650981961418651
23,51005,4728088,2391036,0.50570886159479267
23,50805,4728088,2388931,0.50526364991514539
23,25,4728088,2363459,0.49987627133843532
23,1433,4728088,2350521,0.497139858648993
23,22,4728088,2334905,0.49383704364216569
23,11211,4728088,2331293,0.49307309847024844
23,445,4728088,2137559,0.45209797279576863
25,80,8426662,6498159,0.77114271344928753
25,443,8426662,6170546,0.73226456691866837
25,110,8426662,5738769,0.68102517936521012
25,143,8426662,5566215,0.6605480319490683
25,587,8426662,5403409,0.64122768897103033
25,993,8426662,5372877,0.63760442747080637
