port_number,freq
5900,6428
23,2452571
53,1324799
631,37904
5672,12551
7547,3607105
8089,941572
8883,187621
143,369897
623,1189
27017,2707
62220,2731
443,5935194
8000,53630
49154,16885
22,4034826
102,842
445,245845
465,286560
993,359944
6443,3182874
47808,1445
53194,5763
21,1803132
995,339636
3389,49340
4567,4387
8080,1848912
11211,19786
49152,95655
50805,4775
25,344060
80,8785044
1521,3550
5060,458850
20000,10518
30005,424618
58000,276506
161,53625
587,298313
2000,87845
6379,9399
8443,3361411
110,350149
1723,5530
1883,78366
3306,283592
8081,58455
51005,312691
65535,3722
179,358629
502,1017
1433,13749
5432,80574
8085,13107
