port_b,port_a,count_condition,count_joint,probability
23,110,2452571,892,0.00036369997035763695
23,3389,2452571,888,0.00036206902878652646
23,49152,2452571,832,0.00033923584679097974
23,49154,2452571,808,0.00032945019736431685
23,5060,2452571,547,0.00022303125984935809
23,1723,2452571,494,0.00020142128403214423
23,631,2452571,472,0.00019245110539103659
23,587,2452571,450,0.00018348092674992894
23,8443,2452571,424,0.00017287980653771083
23,51005,2452571,424,0.00017287980653771083
23,8000,2452571,402,0.00016390962789660321
23,8085,2452571,338,0.00013781456275883554
23,143,2452571,319,0.00013006759029606074
23,465,2452571,275,0.00011212723301384547
23,3306,2452571,273,0.00011131176222829023
23,5432,2452571,243,9.907970044496164e-05
23,993,2452571,237,9.6633288088295916e-05
23,8089,2452571,234,9.5410081909963061e-05
23,58000,2452571,221,9.0109521803853992e-05
23,4567,2452571,217,8.8478580232743514e-05
23,995,2452571,216,8.8070844839965891e-05
23,8883,2452571,206,8.39934909121897e-05
23,1521,2452571,180,7.3392370699971578e-05
23,1433,2452571,178,7.2576899914416346e-05
23,6379,2452571,174,7.0945958343305855e-05
23,5672,2452571,171,6.9722752164973e-05
23,5900,2452571,166,6.76840752010849e-05
23,20000,2452571,157,6.4014456666086321e-05
23,62220,2452571,155,6.3198985880531089e-05
23,65535,2452571,155,6.3198985880531089e-05
23,50805,2452571,150,6.1160308916642989e-05
23,53194,2452571,142,5.7898425774422027e-05
23,6443,2452571,136,5.54520134177563e-05
23,502,2452571,121,4.9335982526092008e-05
23,47808,2452571,117,4.7705040954981531e-05
23,27017,2452571,115,4.6889570169426285e-05
23,623,2452571,115,4.6889570169426285e-05
23,102,2452571,113,4.6074099383871046e-05
23,11211,2452571,106,4.3219951634427707e-05
25,80,344060,294600,0.85624600360402259
25,587,344060,262661,0.76341626460501077
25,465,344060,252078,0.73265709469278617
25,21,344060,243685,0.708263093646457
25,993,344060,243281,0.70708887984653834
25,143,344060,233256,0.67795152008370629
25,110,344060,230253,0.66922339126896468
25,995,344060,227023,0.65983549380921935
25,3306,344060,190968,0.5550427251060861
25,443,344060,176215,0.51216357612044416
25,22,344060,98127,0.28520316223914433
25,53,344060,35903,0.1043509852932628
25,8443,344060,9022,0.02622217055164797
25,8080,344060,2863,0.0083212230424925884
25,5060,344060,2827,0.0082165901296285537
25,3389,344060,2755,0.0080073243039004826
25,445,344060,2459,0.00714700924257397
25,5432,344060,1286,0.0037377201650874848
25,49154,344060,1182,0.0034354473057024936
25,179,344060,1171,0.0034034761378829272
25,23,344060,1126,0.0032726849968028834
25,8081,344060,1076,0.0031273615067139451
25,8000,344060,976,0.0028367145265360692
25,49152,344060,891,0.0025896645933848749
25,5672,344060,462,0.0013427890484217868
25,6379,344060,449,0.0013050049409986631
25,2000,344060,430,0.0012497820147648667
25,1433,344060,419,0.0012178108469453003
25,8085,344060,400,0.0011625879207115039
25,1883,344060,345,0.0010027320816136721
25,631,344060,311,0.00090391210835319424
25,30005,344060,284,0.00082543742370516768
25,4567,344060,254,0.000738243329651805
25,8883,344060,238,0.00069173981282334479
25,8089,344060,229,0.0006655815846073359
25,20000,344060,216,0.0006277974771842121
25,7547,344060,212,0.000616171597977097
25,11211,344060,185,0.00053769691332907052
25,6443,344060,181,0.0005260710341219555
25,50805,344060,175,0.00050863221531128287
25,161,344060,171,0.00049700633610416786
25,5900,344060,148,0.00043015753066325641
25,51005,344060,138,0.00040109283264546882
25,1521,344060,134,0.00038946695343835375
25,1723,344060,130,0.00037784107423123874
25,58000,344060,129,0.00037493460442946
25,27017,344060,126,0.00036621519502412373
25,62220,344060,125,0.00036330872522234492
25,65535,344060,115,0.00033424402720455733
25,502,344060,104,0.000302272859384991
25,53194,344060,103,0.00029936638958321223
25,102,344060,97,0.00028192757077253965
25,47808,344060,93,0.00027030169156542464
25,623,344060,91,0.00026448875196186713
53,443,1324799,285100,0.21520245712745859
53,80,1324799,263009,0.19852747473390303
53,22,1324799,145179,0.10958568054474679
53,8080,1324799,134179,0.10128253418065684
53,21,1324799,99226,0.0748989091930172
53,7547,1324799,86488,0.065283865703401042
53,1883,1324799,65646,0.049551667837913524
53,8883,1324799,55906,0.0421996091482557
53,587,1324799,38125,0.028777950466448116
53,465,1324799,36450,0.027513607724643511
53,25,1324799,35903,0.027100714900901948
53,30005,1324799,28921,0.021830481454167765
53,993,1324799,23439,0.017692495238900392
53,143,1324799,19771,0.014923773342220215
53,110,1324799,18745,0.014149316235896917
53,995,1324799,18396,0.013885880046708973
53,23,1324799,16629,0.012552092808041069
53,2000,1324799,13997,0.010565376332560638
53,8443,1324799,11855,0.00894852728602603
53,445,1324799,6610,0.0049894361333304143
53,3306,1324799,6253,0.0047199612922413136
53,179,1324799,5372,0.0040549547516264732
53,3389,1324799,2741,0.0020689931076336861
53,8081,1324799,2492,0.0018810400672101956
53,5060,1324799,2407,0.0018168793907604097
53,8000,1324799,2046,0.0015443852237207304
53,161,1324799,1196,0.0009027784592228708
53,49154,1324799,1055,0.00079634721946499054
53,5432,1324799,879,0.00066349687763955138
53,49152,1324799,811,0.00061216833647972262
53,631,1324799,647,0.00048837597250601787
53,6379,1324799,546,0.00041213799225391925
53,1433,1324799,514,0.00038798338464929397
53,8085,1324799,459,0.00034646765282884425
53,8089,1324799,447,0.00033740967497710974
53,6443,1324799,390,0.00029438428018137091
53,5900,1324799,295,0.00022267528885513955
53,5672,1324799,284,0.00021437214249104959
53,4567,1324799,271,0.00020455933315167055
53,1723,1324799,241,0.00018191438852233432
53,51005,1324799,231,0.00017436607364588891
53,1521,1324799,196,0.00014794697157833
53,58000,1324799,186,0.0001403986567018846
53,20000,1324799,180,0.00013586966777601734
53,502,1324799,158,0.00011926337504783744
53,11211,1324799,146,0.00011020539719610296
53,65535,1324799,143,0.00010794090273316933
53,50805,1324799,138,0.00010416674529494663
53,27017,1324799,136,0.00010265708231965755
53,53194,1324799,134,0.00010114741934436846
53,62220,1324799,126,9.5108767443212141e-05
53,102,1324799,108,8.1521800665610412e-05
53,47808,1324799,105,7.9257306202676784e-05
53,623,1324799,103,7.7747643227387707e-05
80,443,8785044,2946197,0.33536508183681263
80,23,8785044,1893244,0.21550762864705061
80,21,8785044,1409084,0.16039578173996624
80,8443,8785044,933978,0.10631455004664746
80,22,8785044,919990,0.10472229848820336
80,6443,8785044,796018,0.090610587721586824
80,993,8785044,333069,0.03791318518154263
80,143,8785044,330595,0.037631570200445212
80,110,8785044,328521,0.037395487148385372
80,995,8785044,317782,0.036173068683549
80,25,8785044,294600,0.033534265736176162
80,587,8785044,273693,0.031154425635204559
80,465,8785044,265318,0.030201100870980272
80,53,8785044,263009,0.02993826781061085
80,3306,8785044,254415,0.028960014315238491
80,8883,8785044,179725,0.020458064865696745
80,8080,8785044,129153,0.014701463077475765
80,445,8785044,66283,0.0075449821309944492
80,5432,8785044,53532,0.006093538063099058
80,7547,8785044,42947,0.0048886493909421512
80,30005,8785044,40978,0.0046645184702546741
80,631,8785044,32010,0.003643692621232176
80,8081,8785044,31813,0.0036212681461811687
80,8000,8785044,24491,0.0027878061851483041
80,5060,8785044,21937,0.002497084818243369
80,179,8785044,21503,0.0024476826752375968
80,3389,8785044,18053,0.0020549697872884872
80,8089,8785044,14167,0.0016126270966884172
80,2000,8785044,13630,0.001551500481955469
80,1433,8785044,10239,0.0011655035535394018
80,8085,8785044,8561,0.00097449711122676223
80,1883,8785044,7597,0.00086476516224619931
80,5672,8785044,7552,0.00085964282022947178
80,6379,8785044,4374,0.00049789164402591493
80,49154,8785044,3548,0.00040386821056331645
80,161,8785044,3239,0.00036869479538178748
80,49152,8785044,3181,0.00036209266567133869
80,4567,8785044,1209,0.00013762025551607938
80,27017,8785044,1182,0.00013454685030604287
80,20000,8785044,1150,0.00013090429598303663
