p
25
8089
1521
8443
53
62220
5060
53194
8000
30005
995
7547
6443
502
8081
110
49152
11211
161
22
20000
27017
58000
4567
1433
21
465
3389
102
623
143
3306
2000
8080
993
8085
1723
443
179
49154
8883
50805
5432
1883
6379
23
51005
80
587
47808
65535
5672
445
631
5900
