p
49154
1433
445
443
22
3306
8080
993
53
6379
631
5900
23
11211
49152
623
5432
21
25
110
502
20000
1521
465
161
8883
6443
143
102
8443
995
50805
80
1883
4567
30005
51005
1723
587
5672
7547
27017
